book_id,title,author,year,semester,course,total_copies,available_copies
101,"Set Theory and Related topics","Seymour Lipschutz, Schaum’s",1st,1st,AMAT1101,10,10
102,"Set Theory and Number Systems","R. S. Agarwal",1st,1st,AMAT1101,10,10
103,"Discrete Mathematics and Its Applications","Kenneth H. Rosen",1st,1st,AMAT1101,10,10
104,"Discrete Mathematical Structures","Koleman & Busby",1st,1st,AMAT1101,10,9
105,"Higher Algebra","Bernard and Child",1st,1st,AMAT1102,10,9
106,"Theory of equations","Barnside and Panton:",1st,1st,AMAT1102,10,9
107,"Higher Algebra","Hall and Knight",1st,1st,AMAT1102,10,10
108,"Higher Trigonometry","Das and Mukherjee",1st,1st,AMAT1102,10,10
109,"Higher Trigonometry","S.A. Sattar",1st,1st,AMAT1102,10,10
110,Calculus,"Howard Anton",1st,1st,AMAT1103,10,10
111,"Differential Calculus","J. Edward",1st,1st,AMAT1103,10,10
112,"Calculus and analytical","G.B. Thomas and R. L. Finny",1st,1st,AMAT1103,10,10
113,"Calculus and analytical Geometry","S.K. Stein and A. Barcellos",1st,1st,AMAT1103,10,9
114,Calculus,"F. Ayres",1st,1st,AMAT1103,10,10
115,"Advanced Calculus","M.R. Spiegel",1st,1st,AMAT1103,10,10
116,"Theory of Matrices","F. Ayres",1st,1st,AMAT1104,10,10
117,"Theory of Matrices","C. C. Mcduffe",1st,1st,AMAT1104,10,10
118,"Linear Algebra","S. Lipschutz",1st,1st,AMAT1104,10,10
119,"Elementary Linear Algebra","S. L. Croasman",1st,1st,AMAT1104,10,10
120,"Mechanics properties of Matter","Ahmed and Nath",1st,1st,AMAT1110,10,10
121,"Padartha Bidya (Bengali)","Bandopadhya and Ghose",1st,1st,AMAT1110,10,10
122,"General Properties of Matter","Emran, et al.",1st,1st,AMAT1110,10,10
123,": Physics (1 and 2)","Halliday and Resnick",1st,1st,AMAT1110,10,10
124,"Text Book of Sound",Emran,1st,1st,AMAT1110,10,10
125,"Text Book of Sound",Saha,1st,1st,AMAT1110,10,10
126,"Elements of Properties of Matter","D.S. Mathur",1st,1st,AMAT1110,10,10
127,"Methods of Statistics","Bhuyan, K.C",1st,1st,AMAT1111,10,10
128,"An Introduction to the theory of Statistics","Yule and Kendal",1st,1st,AMAT1111,10,10
129,"Introductory Statistics, Wiley & Sons, NY","Hool. P.H",1st,1st,AMAT1111,10,10
130,"Elements of V Probability and Statistical Applications, 2nd ED","Wolf, FL",1st,1st,AMAT1111,10,10
131,"Statistical Techniques in Business and Economics","Lind, A. D., Marchal, W. and Wathen",1st,1st,AMAT1111,10,9
132,"Practical MATLAB","Irfan Turk",1st,1st,AMAT1120,10,10
133,"MATLAB Programming for Engineers","Stephen J. Chapman",1st,1st,AMAT1120,10,10
134,"Beginning MATLAB and Simulink","Sulaymon Eshkabilov",1st,1st,AMAT1120,10,10
135,"A Guide to MATLAB","Brian R. Hunt",1st,1st,AMAT1120,10,10
136,"Analytic Geometry of Conic Sections","Askwith H. H.",1st,2nd,AMAT1201,10,10
137,"Analytic Geometry of Conic Sections","Smith C",1st,2nd,AMAT1201,10,9
138,"Analytic Geometry of Conic Sections","Loney S. L",1st,2nd,AMAT1201,10,10
139,"Analytic Geometry of Conic Sections","Kar J. M",1st,2nd,AMAT1201,10,10
140,"Vector & Tensor Analysis","M. R. Spiegel",1st,2nd,AMAT1202,10,10
141,"Vector Analysis","A.K. Hazera",1st,2nd,AMAT1202,10,10
142,"Vector Analysis","M.A. Sattar",1st,2nd,AMAT1202,10,10
143,Calculus,"Howard Anton",1st,2nd,AMAT1203,10,10
144,"Differential Calculus","J. Edward",1st,2nd,AMAT1203,10,10
145,"Calculus and analytical","G.B. Thomas and R. L. Finny",1st,2nd,AMAT1203,10,10
146,"Calculus and analytical Geometry","S.K. Stein and A. Barcellos",1st,2nd,AMAT1203,10,10
147,Calculus,"F. Ayres",1st,2nd,AMAT1203,10,10
148,"Advanced Calculus","M.R. Spiegel",1st,2nd,AMAT1203,10,10
149,"Theory of Matrices","F. Ayres",1st,2nd,AMAT1204,10,10
150,"Theory of Matrices","C. C. Mcduffe",1st,2nd,AMAT1204,10,10
151,"Linear Algebra","S. Lipschutz",1st,2nd,AMAT1204,10,10
152,"Elementary Linear Algebra","S. L. Croasman",1st,2nd,AMAT1204,10,10
153,"Electricity and Magnetism",Acharyya,1st,2nd,PHYS1210,10,10
154,"Principles of Electricity","Adans and page",1st,2nd,PHYS1210,10,10
